wave-length (nm),A
617.061,0.3541
617.406,0.3443
617.751,0.3608
618.096,0.3629
618.44,0.3584
618.785,0.3467
619.13,0.3361
619.474,0.3472
619.819,0.3432
620.163,0.3532
620.508,0.3401
620.852,0.339
621.197,0.3539
621.541,0.3415
621.885,0.3419
622.229,0.3439
622.574,0.3492
622.918,0.3589
623.262,0.3565
623.606,0.3451
623.95,0.3529
624.294,0.3437
624.638,0.3484
624.981,0.3487
625.325,0.3519
625.669,0.3571
626.013,0.3446
626.356,0.3464
626.7,0.3525
627.043,0.3487
627.387,0.3522
627.73,0.353
628.074,0.3477
628.417,0.3481
628.761,0.3524
629.104,0.3471
629.447,0.3473
629.79,0.3513
630.133,0.3557
630.476,0.3435
630.819,0.3515
631.162,0.3399
631.505,0.3527
631.848,0.3485
632.191,0.3552
632.534,0.3546
632.877,0.3521
633.219,0.3448
633.562,0.3488
633.905,0.3582
634.247,0.3407
634.59,0.3489
634.932,0.3536
635.275,0.3468
635.617,0.3456
635.959,0.3516
636.302,0.3477
636.644,0.3611
636.986,0.3554
637.328,0.3533
637.67,0.3457
638.012,0.3546
638.354,0.363
638.696,0.3585
639.038,0.3567
639.38,0.3578
639.722,0.3525
640.064,0.3589
640.405,0.3676
640.747,0.3614
641.089,0.3515
641.43,0.3501
641.772,0.3613
642.113,0.3676
642.455,0.3645
642.796,0.3611
643.137,0.3618
643.479,0.361
643.82,0.3739
644.161,0.3647
644.502,0.3598
644.843,0.367
645.185,0.3595
645.526,0.3742
645.866,0.3697
646.207,0.3682
646.548,0.3562
646.889,0.3824
647.23,0.3781
647.571,0.3799
647.911,0.3768
648.252,0.3607
648.592,0.3706
648.933,0.3758
649.273,0.3827
649.614,0.3859
649.954,0.383
650.295,0.3769
650.635,0.38
650.975,0.3944
651.315,0.3907
651.656,0.3856
651.996,0.3873
652.336,0.3854
652.676,0.3905
653.016,0.3837
653.356,0.4013
653.695,0.3951
654.035,0.384
654.375,0.3797
654.715,0.3787
655.054,0.3919
655.394,0.3978
655.734,0.3916
656.073,0.3882
656.413,0.401
656.752,0.394
657.091,0.3927
657.431,0.399
657.77,0.395
658.109,0.3909
658.449,0.3893
658.788,0.3956
659.127,0.3941
659.466,0.3923
659.805,0.4045
660.144,0.4017
660.483,0.3985
660.822,0.4099
661.16,0.3912
661.499,0.3967
661.838,0.4021
662.177,0.4026
662.515,0.3974
662.854,0.3919
663.192,0.41
663.531,0.3897
663.869,0.3943
664.208,0.3833
664.546,0.3937
664.884,0.3977
665.222,0.4033
665.561,0.4021
665.899,0.3896
666.237,0.396
666.575,0.4097
666.913,0.4169
667.251,0.4034
667.589,0.4232
667.927,0.4013
668.264,0.4051
668.602,0.3948
668.94,0.3974
669.278,0.3932
669.615,0.3962
669.953,0.4022
670.29,0.3938
670.628,0.3915
670.965,0.3819
671.303,0.3878
671.64,0.3797
671.977,0.3962
672.314,0.4082
